"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-01","2.6",",,W","0.0",",,X,2400","11.1",",,X","3.9",",,X","  170",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-02","3.0",",,W","0.0","T,,X,2400","11.7",",,X","3.3",",,X","  320",",,X","    1",",,X","    1",",,X",,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-03","7.4",",,W","0.0",",,X,2400","3.3",",,X","-1.1",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-04","4.3",",,W","0.0",",,X,2400","5.6",",,X","0.0",",,X","  280",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-05","5.4",",,W","0.0",",,X,2400","5.0",",,X","0.0",",,X","  260",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-06","1.7",",,W","0.0",",,X,2400","1.1",",,X","-1.7",",,X","  330",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-07","3.7",",,W","3.3",",,X,2400","2.8",",,X","-1.7",",,X","  290",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-08","3.4",",,W","0.0","T,,X,2400","0.6",",,X","-2.8",",,X","  300",",,X",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-09","9.4",",,W","0.0",",,X,2400","1.1",",,X","-1.7",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-10","6.6",",,W","0.0",",,X,2400","2.8",",,X","-2.8",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-11","3.6",",,W","3.3",",,Z,2400","0.0",",,X","-3.3",",,X","  350",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-12","7.9",",,W","12.7",",,X,2400","1.1",",,X","-3.3",",,X","  300",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-13","7.5",",,W","0.0",",,X,2400","0.0",",,X","-6.1",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-14","4.2",",,W","0.0",",,X,2400","0.0",",,X","-6.1",",,X","  300",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-15","3.7",",,W","0.0",",,X,2400","3.9",",,X","-3.9",",,X","  180",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-16","5.9",",,W","0.0",",,X,2400","3.9",",,X","-2.2",",,X","  310",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-17","4.3",",,W","0.0","T,,X,2400","-1.7",",,X","-5.6",",,X","  330",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-18","7.7",",,W","28.4",",,X,2400","6.7",",,X","-3.9",",,X","   40",",,X","    1",",,W",,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-19","3.6",",,W","1.8",",,X,2400","5.6",",,X","2.8",",,X","  320",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-20","5.2",",,W","0.0",",,X,2400","2.8",",,X","0.0",",,X","  310",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-21","7.0",",,W","10.9",",,Z,2400","0.6",",,X","-6.1",",,X","  300",",,X","    1",",,W","    1",",,X",,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X"
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-22","3.6",",,W","0.0",",,X,2400","-2.8",",,X","-8.3",",,X","  310",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-23","6.8",",,W","0.0",",,X,2400","-2.8",",,X","-10.0",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-24","3.0",",,W","0.0",",,X,2400","-3.3",",,X","-12.8",",,X","  330",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-25","2.1",",,W","1.5",",,Z,2400","3.3",",,X","-3.3",",,X","  220",",,X","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-26","6.0",",,W","23.9",",,Z,2400","1.1",",,X","-0.6",",,X","   20",",,X","    1",",,X","    1",",,X",,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-27","5.0",",,W","14.2",",,X,2400","3.9",",,X","0.0",",,X","  300",",,X","    1",",,X","    1",",,X",,,,,,,,,"    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-28","1.9",",,W","0.0","T,,X,2400","2.8",",,X","-1.1",",,X","  160",",,X",,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-29","3.3",",,W","0.3",",,X,2400","3.3",",,X","0.0",",,X","  310",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-30","3.7",",,W","0.0",",,X,2400","5.6",",,X","-1.1",",,X","  310",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-01-31","3.6",",,W","0.0","T,,X,2400","0.6",",,X","-3.3",",,X","  330",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-01","5.5",",,W","3.3",",,X,2400","-0.6",",,X","-3.3",",,X","   40",",,X","    1",",,W",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-02","4.9",",,W","17.0",",,X,2400","5.0",",,X","-2.2",",,X","  290",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X","    1",",,X",,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-03","6.2",",,W","0.0",",,X,2400","2.2",",,X","-2.8",",,X","  300",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-04","4.3",",,W","0.0",",,X,2400","2.8",",,X","-2.8",",,X","  270",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-05","3.9",",,W","6.1",",,X,2400","6.7",",,X","-0.6",",,X","  250",",,X","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,,"    1",",,X","    1",",,X","    1",",,X",,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-06","5.2",",,W","0.0",",,X,2400","8.3",",,X","3.3",",,X","  260",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-07","2.6",",,W","2.3",",,X,2400","7.2",",,X","0.6",",,X","  160",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-08","8.3",",,W","2.8",",,X,2400","6.1",",,X","-6.7",",,X","  290",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-09","5.6",",,W","0.0",",,X,2400","-1.1",",,X","-8.9",",,X","  300",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-10","6.0",",,W","0.0",",,X,2400","-1.1",",,X","-5.0",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-11","4.6",",,W","0.0",",,X,2400","2.8",",,X","-6.1",",,X","  230",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-12","6.6",",,W","0.0","T,,X,2400","4.4",",,X","-1.1",",,X","  310",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-13","4.9",",,W","0.0",",,X,2400","7.8",",,X","-1.1",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-14","9.0",",,W","0.0","T,,X,2400","14.4",",,X","2.8",",,X","  310",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014732","LA GUARDIA AIRPORT, NY US","40.7792","-73.88","3.4","2011-02-15","8.1",",,W","0.0",",,X,2400","2.8",",,X","-3.3",",,X","  320",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
