"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","TMAX","TMIN","WDF2"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-01","0.6","0.0","13.9","2.2","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-02","1.6","8.9","10.6","3.9","  110"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-03","1.6","4.3","12.2","4.4","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-04","1.5","0.0","16.1","2.2","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-05","1.6","0.0","17.8","3.3","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-06","1.5","0.0","20.0","5.0","  320"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-07","1.3","0.0","16.1","7.8","   20"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-08","1.0","0.0","13.3","8.9","  240"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-09","1.1","0.0","13.3","6.1","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-10","0.9","0.0","16.1","3.9","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-11","1.3","0.0","15.6","6.1","  360"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-12","0.8","0.0","22.2","5.6","  100"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-13","1.7","0.0","25.0","6.1","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-14","1.4","0.0","26.7","10.0","   40"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-15","0.9","0.0","27.2","10.6","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-16","0.9","0.0","27.8","10.6","  130"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-17","1.0","0.0","30.6","12.8","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-18","0.7","0.0","27.8","12.2","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-19","1.6","0.0","21.7","10.6","  110"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-20","1.2","0.0","23.9","8.9","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-21","0.9","0.0","23.3","6.1","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-22","0.8","0.0","21.7","6.7","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-23","1.3","0.0","23.9","7.2","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-24","1.0","0.0","23.3","6.7","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-25","0.9","0.0","24.4","7.8","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-26","2.2","0.0","25.0","7.8","   40"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-27","1.2","0.0","22.8","7.2","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-28","1.1","0.0","23.3","6.1","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-29","2.0","0.0","19.4","5.0","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-30","2.7","2.8","13.3","8.3","  260"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-01-31","2.0","0.0","18.9","5.0","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-01","1.2","0.0","17.2","6.1","   70"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-02","2.4","0.0","18.9","5.0","   60"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-03","1.4","0.0","16.7","1.7","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-04","1.5","0.0","18.3","2.8","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-05","1.3","0.0","21.1","5.0","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-06","1.0","0.0","25.0","7.8","  130"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-07","1.5","0.0","25.0","9.4","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-08","1.7","0.0","18.9","9.4","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-09","1.3","0.0","20.0","6.1","   40"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-10","0.9","0.0","20.0","4.4","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-11","0.8","0.0","23.9","3.9","  340"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-12","1.2","0.0","26.7","6.7","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-13","1.9","0.0","23.3","7.8","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-14","1.2","0.0","18.3","6.7","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-15","2.2","1.8","17.2","11.1","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-16","4.2","14.0","16.1","7.2","  250"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-17","1.4","0.0","13.9","3.3","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-18","4.7","18.0","14.4","6.1","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-19","1.8","12.7","12.2","5.6","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-20","1.4","0.0","13.9","3.9","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-21","1.3","0.0","14.4","3.9","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-22","1.1","0.0","15.0","3.3","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-23","1.3","0.0","14.4","3.9","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-24","1.7","0.0","14.4","3.9","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-25","3.6","20.6","11.1","8.9","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-26","1.7","6.4","10.6","3.9","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-27","2.0","0.0","13.3","3.3","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-02-28","1.2","0.0","17.8","1.1","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-01","0.7","0.0","17.2","3.9","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-02","1.2","2.8","17.8","6.1","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-03","1.8","2.0","19.4","11.1","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-04","1.5","0.0","25.0","7.8","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-05","1.2","0.0","26.1","8.9","  270"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-06","2.3","0.0","17.8","8.9","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-07","4.1","0.0","19.4","11.1","  340"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-08","4.0","0.0","21.7","10.6","  360"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-09","0.9","0.0","28.9","10.0","  270"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-10","1.4","0.0","27.2","10.6","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-11","2.6","0.0","21.7","10.6","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-12","1.7","0.0","18.9","8.9","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-13","1.3","0.0","21.7","8.9","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-14","1.8","0.0","24.4","10.6","  290"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-15","3.0","0.0","29.4","12.2","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-16","1.6","0.0","21.7","11.1","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-17","1.9","0.0","23.9","12.2","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-18","2.2","0.3","19.4","7.2","  270"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-19","2.8","5.1","13.9","9.4","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-20","7.1","97.8","11.1","8.3","  130"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-21","1.5","3.0","11.7","6.1","  260"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-22","1.5","0.0","15.0","5.0","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-23","2.0","8.1","13.9","4.4","  250"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-24","2.6","2.3","14.4","5.0","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-25","2.6","10.4","15.0","8.9","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-26","1.8","0.0","12.8","7.8","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-27","2.1","1.5","17.2","10.0","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-28","1.4","0.0","18.9","7.2","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-29","1.2","0.0","25.0","8.3","  120"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-30","1.5","0.0","29.4","11.7","  150"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-03-31","1.4","0.0","33.9","14.4","  140"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-01","2.2","0.0","31.7","15.0","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-02","2.6","0.0","20.0","13.3","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-03","1.9","0.0","18.9","12.8","  200"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-04","1.6","0.0","27.8","10.0","  170"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-05","2.4","0.0","25.6","11.1","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-06","2.3","0.0","21.1","12.8","  180"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-07","4.2","0.0","16.7","8.3","  260"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-08","3.1","0.0","12.8","5.0","  220"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-09","2.2","0.0","15.0","3.9","  210"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-10","1.4","0.0","19.4","6.1","  190"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-11","1.7","0.0","23.3","8.9","  270"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-12","3.0","0.0","21.1","10.0","  160"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-13","3.0","0.0","17.2","11.1","  350"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-14","3.2","0.0","26.1","8.3","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-15","3.0","0.0","31.1","12.2","  330"
"USW00023152","BURBANK GLENDALE PASADENA AIRPORT, CA US","34.20056","-118.3575","225.9","2011-04-16","1.7","0.0","32.8","15.0","  160"
